PMID,Title,Authors,Journal/Book,Publication Year,DOI,Was the allocation sequence adequately generated and applied?,Were the groups similar at baseline or were they adjusted for confounders in the analysis?,Was the allocation to the different groups adequately concealed?,Were the animals randomly housed during the experiment?,Were the caregivers and/or investigators blinded from knowledge which intervention each animal received during the experiment?,Were animals selected at random for outcome assessment?,Was the outcome assessor blinded?,Were incomplete outcome data adequately addressed?,Are reports of the study free of selective outcome reporting?,Was the study apparently free of other problems that could result in high risk of bias? (Marked as 'unclear' if experimental unit is not explicitly reported),Notes
28662512,RU486 Reverses Emotional Disorders by Influencing Astrocytes and Endoplasmic Reticulum Stress in Chronic Restraint Stress Challenged Rats,"Dong L, Wang S, Li Y, Zhao Z, Shen Y, Liu L, Xu G, Ma C, Li S, Zhang X, Cong B.",Cell Physiol Biochem,2017,10.1159/000478764,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,
28420875,Down-regulation of cholinergic signaling in the habenula induces anhedonia-like behavior,"Han S, Yang SH, Kim JY, Mo S, Yang E, Song KM, Ham BJ, Mechawar N, Turecki G, Lee HW, Kim H.",Sci Rep,2017,10.1038/s41598-017-01088-6,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Rats' ages/weights not given
28388904,Effect of traditional Chinese medicine formula Sinisan on chronic restraint stress-induced nonalcoholic fatty liver disease: a rat study,"Cheng F, Ma C, Wang X, Zhai C, Wang G, Xu X, Mu J, Li C, Wang Z, Zhang X, Yue W, Du X, Lian Y, Zhu W, Yin X, Wei Z, Song W, Wang Q.",BMC Complement Altern Med,2017,10.1186/s12906-017-1707-2,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Data complete,Yes,Unclear,
28293639,Proteomic Analysis of Liver Proteins in a Rat Model of Chronic Restraint Stress-Induced Depression,"Li C, Guo Z, Zhao R, Sun W, Xie M.",Biomed Res Int,2017,10.1155/2017/7508316,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,
27957715,Anxiolytic effects of muscarinic acetylcholine receptors agonist oxotremorine in chronically stressed rats and related changes in BDNF and FGF2 levels in the hippocampus and prefrontal cortex,"Di Liberto V, Frinchi M, Verdi V, Vitale A, Plescia F, Cannizzaro C, Massenti MF, Belluardo N, Mudò G.",Psychopharmacology (Berl),2017,10.1007/s00213-016-4498-0,Yes,Similar at baseline,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Yes,Unclear,Sample size varies between behavioural tests
27927737,The ROCK Inhibitor Fasudil Prevents Chronic Restraint Stress-Induced Depressive-Like Behaviors and Dendritic Spine Loss in Rat Hippocampus,"García-Rojo G, Fresno C, Vilches N, Díaz-Véliz G, Mora S, Aguayo F, Pacheco A, Parra-Fiedler N, Parra CS, Rojas PS, Tejos M, Aliaga E, Fiedler JL.",Int J Neuropsychopharmacol,2017,10.1093/ijnp/pyw108,Yes,Similar at baseline,Unclear,Unclear,Yes,Unclear,Yes,No,Yes,Unclear,Method states control and CRS goups are both n=16; Fig 2 legend (FST) gives n=7 for both groups
27916420,Potential involvement of JNK1 repression in the hepatic effect of sitagliptin and metformin in rats subjected to high fat diet and chronic mild distress,"Magdy YM, El-Kharashi OA, Nabih ES, Shaker SM, Abd-Elaziz LF, Aboul-Fotouh S.",Biomed Pharmacother,2017,10.1016/j.biopha.2016.10.098,Unclear,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Data complete,Yes,Unclear,
27346276,"Resveratrol reverses chronic restraint stress-induced depression-like behaviour: Involvement of BDNF level, ERK phosphorylation and expression of Bcl-2 and Bax in rats","Wang X, Xie Y, Zhang T, Bo S, Bai X, Liu H, Li T, Liu S, Zhou Y, Cong X, Wang Z, Liu D.",Brain Res Bull,2016,10.1016/j.brainresbull.2016.06.014,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Unclear,Evaluator blinded for FST only
27150225,Behavioral effects and CRF expression in brain structures of high- and low-anxiety rats after chronic restraint stress,"Wisłowska-Stanek A, Lehner M, Skórzewska A, Krząścik P, Płaźnik A.",Behav Brain Res,2016,10.1016/j.bbr.2016.05.001,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Yes,Data complete,Yes,Unclear,"Rats randomised to groups after screening ""according to their behavior in the conditioned fear test"". Evaluator blinded for FST only"
27023176,Nature and nurture: environmental influences on a genetic rat model of depression,"Mehta-Raghavan NS, Wert SL, Morley C, Graf EN, Redei EE.",Transl Psychiatry,2016,10.1038/tp.2016.28,No,Similar at baseline,N/a,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Unclear,"""Given that these strains are both inbred, groups were not randomized, but the animals from each litter were divided into different treatment groups"". Evaluator blinded for FST only"
26947756,The identification of metabolic disturbances in the prefrontal cortex of the chronic restraint stress rat model of depression,"Liu L, Zhou X, Zhang Y, Liu Y, Yang L, Pu J, Zhu D, Zhou C, Xie P.",Behav Brain Res,2016,10.1016/j.bbr.2016.03.005,Yes,Similar at baseline,Unclear,Unclear,Unclear,No,Unclear,Data complete,Yes,Unclear,"""We used both the LAT and SPT data to determine outliers [44]. Values beyond the 95% reference interval in the LAT or the 95% percentile interval in the SPT were regarded as spurious values and eliminated from the data. As a result, five outliers were excluded following the LAT and SPT (Fig. S1A and B), leaving 20CRS and 10CON rats. No significant statistical differences in locomotor activity or sucrose preference were found between the two groups (Fig. S1C and D). After CRS exposure, eight rats were defined as CRS susceptible based on the SPT, and the remaining 12 rats were designated as CRS resilient. According to the aim of the study, only susceptible rats were chosen for further research. To keep the quantity balance between the two groups, eight rats in the CON group were randomly selected. Finally, the 16 chosen rats (Susceptible group, n = 8; CON group, n = 8) were compared""."
26830848,"Age-related effects of chronic restraint stress on ethanol drinking, ethanol-induced sedation, and on basal and stress-induced anxiety response","Fernández MS, Fabio MC, Miranda-Morales RS, Virgolini MB, De Giovanni LN, Hansen C, Wille-Bille A, Nizhnikov ME, Spear LP, Pautassi RM.",Alcohol,2016,10.1016/j.alcohol.2015.11.009,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,
26778944,Chronic Stress Decreases Cerebrovascular Responses During Rat Hindlimb Electrical Stimulation,"Lee S, Kang BM, Shin MK, Min J, Heo C, Lee Y, Baeg E, Suh M.",Front Neurosci,2015,10.3389/fnins.2015.00462,Unclear,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Data complete,Yes,Unclear,
26555398,Behavioural and biochemical changes in maternally separated Sprague-Dawley rats exposed to restraint stress,"van Zyl PJ, Dimatelis JJ, Russell VA.",Metab Brain Dis,2016,10.1007/s11011-015-9757-y,Unclear,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Unclear,"Evaluator blinded for FST only. Methods states control and CRS groups are both n=13 and other groups are n=12, figures 1 and 2 report n=12-13."
26487859,Electroacupuncture pretreatment exhibits anti-depressive effects by regulating hippocampal proteomics in rats with chronic restraint stress,"Guo Z, Tu Y, Guo TW, Wu YC, Yang XQ, Sun L, Yang XJ, Zhang WY, Wang Y, Zhang XH.",Neural Regen Res,2015,10.4103/1673-5374.162764,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Yes,Data complete,Yes,Unclear,Evaluator blinded for OFT
26010004,Association of N-cadherin levels and downstream effectors of Rho GTPases with dendritic spine loss induced by chronic stress in rat hippocampal neurons,"Castañeda P, Muñoz M, García-Rojo G, Ulloa JL, Bravo JA, Márquez R, García-Pérez MA, Arancibia D, Araneda K, Rojas PS, Mondaca-Ruff D, Díaz-Véliz G, Mora S, Aliaga E, Fiedler JL.",J Neurosci Res,2015,10.1002/jnr.23602,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Unclear,"Methods describe n=28 for control and CRS groups, but only a subset (n=8) used for the SPT and FST"
25826421,"The effects of antidepressants ""fluoxetine and imipramine"" on vascular abnormalities and Toll like receptor-4 expression in diabetic and non-diabetic rats exposed to chronic stress","Habib M, Shaker S, El-Gayar N, Aboul-Fotouh S.",PLoS One,2015,10.1371/journal.pone.0120559,Unclear,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,"Methods state control and CRS groups are n=10 and n=11 respectively, but Fig 1 lgend describes n=9-14."
25660342,Involvement of trigeminal astrocyte activation in masseter hyperalgesia under stress,"Zhao YJ, Liu Y, Li Q, Zhao YH, Wang J, Zhang M, Chen YJ.",Physiol Behav,2015,10.1016/j.physbeh.2015.02.005,Unclear,Similar at baseline,Unclear,Unclear,Yes,Unclear,Yes,Data complete,Yes,Unclear,Evaluator blinded for all behavioural tests.
25446675,Insulin-like growth factor 2 mitigates depressive behavior in a rat model of chronic stress,"Luo YW, Xu Y, Cao WY, Zhong XL, Duan J, Wang XQ, Hu ZL, Li F, Zhang JY, Zhou M, Dai RP, Li CQ.",Neuropharmacology,2015,10.1016/j.neuropharm.2014.10.011,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Unclear,Evaluator blinded for FST.
25315361,Behavioral effects of nicotinic antagonist mecamylamine in a rat model of depression: prefrontal cortex level of BDNF protein and monoaminergic neurotransmitters,Aboul-Fotouh S.,Psychopharmacology (Berl),2015,10.1007/s00213-014-3745-5,Unclear,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,
25139647,"Electroconvulsive stimulation, but not chronic restraint stress, causes structural alterations in adult rat hippocampus--a stereological study","Olesen MV, Wörtwein G, Pakkenberg B.",Hippocampus,2015,10.1002/hipo.22351,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Yes,No,Yes,Unclear,"Evaluator blinded for FST. Methods section states all groups are n=12, Fig 3 legend states n=11-12."
